1010,4,16,43
1011,2,69,49
1012,3,59,451
1013,5,456,404
1021,1,54,362
1022,6,113,135
1031,1,448,459
1041,3,456,78
1051,1,31,59
1052,7,148,49
1053,10,285,275
1061,2,362,315
1071,5,240,82
1072,8,449,67
1073,11,37,45
1074,10,217,431
1075,14,261,265
1076,15,261,265
1081,7,161,469
1082,9,437,51
1091,8,473,330
1101,5,97,93
1102,7,470,55
1111,7,423,475
1112,13,457,423
1113,16,217,91
1121,14,261,265
1122,15,261,265
1123,17,435,183
1141,7,470,55
1142,12,437,131
1143,251,249,403
1151,7,470,55
1152,12,215,423
1153,251,249,83
1161,11,431,35
1162,18,69,277
1163,19,47,37
1171,14,261,265
1172,15,261,265
1173,251,249,403
1181,16,481,133
1191,16,485,461
1221,14,0,267
21222,24,892,151
1231,15,261,267
21232,24,158,864
21241,22,426,40
21242,23,454,409
1301,11,41,353
1991,14,261,265
1992,15,261,265
1993,17,435,183
